4	3
683553245920	-0.071476	376
683553249147	-0.315739	373
5	3
692095945605	0.924110	628
692095944056	0.778843	619
692095944258	0.704811	861
692095943634	0.230118	860
692096095252	-0.865898	577
692095945929	2.287624	110
692095943940	1.199818	336
692095948574	0.082790	107
2	5
692484950147	0.999992	881
692484952483	0.004330	581
692484951154	1.355614	69
692484952623	0.866726	370
692484953102	0.186180	379
692484958275	0.099525	78
692484956210	-0.449268	337
4	4
694207096128	1.758347	865
694207096272	1.742092	616
694207099485	0.327679	841
694207099697	-0.411743	613
694207095790	5.000835	107
694207095982	1.771294	370
694207097990	0.432182	360
694207102652	-0.484402	110
6	5
700797904563	2.515644	613
700797906396	2.080956	870
700797905481	2.030823	883
700797905872	1.970795	625
700797906374	1.093624	886
700797908456	0.623203	890
700797906499	1.750034	102
700797909338	0.357876	372
700797909931	-0.168781	363
700797910042	-0.256329	373
700797944778	-0.732807	98
3	5
705896201756	2.258022	859
705896202170	0.947849	599
705896208126	-0.571861	845
705896203344	2.802025	325
705896204965	1.273411	87
705896205062	0.763783	84
705896204453	0.626984	330
705896207206	-0.081642	334
4	4
710340062240	1.301830	873
710340063006	1.237583	847
710340062584	0.548359	582
710340063953	0.214592	578
710340062951	1.216518	361
710340064729	0.728771	359
710340064383	0.450951	90
710340063494	0.147274	94
3	4
712017679449	1.417141	602
712017686418	-0.575222	606
712017693875	-0.885120	600
712017682111	2.387188	74
712017679455	2.273212	351
712017681328	1.745052	331
712017681267	1.563309	69
2	2
729957015394	-0.887852	613
729956831121	-0.936970	616
729956950437	0.334179	381
729956962540	-0.652599	123
2	3
734542169263	2.905399	593
734542169152	0.723320	845
734542168419	2.392490	347
734542170503	1.527092	78
734542172210	-0.087997	69
4	4
763815543878	1.028252	603
763815543255	0.887520	881
763815545084	0.874043	877
763815543685	0.505219	608
763815546610	1.577522	329
763815548015	1.058826	65
763815549493	0.595409	382
763815546709	0.267303	89
3	5
780077788925	1.751053	604
780077790677	1.301903	893
780077791873	0.326679	601
780077787382	2.842152	364
780077788930	2.813961	362
780077789159	1.392555	79
780077790629	0.531921	371
780077790359	0.170536	367
4	4
790374707772	1.448326	623
790374706911	1.435799	858
790374707997	0.981030	856
790374710446	-0.402061	620
790374707065	2.035061	351
790374708721	1.650650	115
790374708165	0.677696	350
790374712078	0.054985	118
4	5
790552858242	1.280689	879
790552860411	1.244194	621
790552861055	0.684925	876
790552859796	0.126995	622
790552860184	2.654720	107
790552858913	1.851910	383
790552861668	0.497936	376
790552866402	-0.735588	110
790552888285	-0.922901	116
3	4
799496725417	4.644619	874
799496727070	0.729115	591
799496727428	0.635147	617
799496727551	3.774086	374
799496731579	2.345764	72
799496730102	1.442875	371
799496728642	1.146679	68
4	3
807568958164	1.225227	639
807568957293	1.085102	632
807568955369	0.822876	851
807568954755	0.512993	854
807568955069	2.000912	320
807568957817	0.911137	124
807568957777	-0.408737	330
4	4
809954496457	1.023991	845
809954497819	0.723228	836
809954496536	0.596138	606
809954497636	0.031361	607
809954495151	2.004944	333
809954496538	1.702305	95
809954498021	0.305115	324
809954542881	-1.322201	347
2	2
812380656972	0.070232	841
812380591216	-0.578587	611
812380671754	0.096359	322
812380676383	-0.757751	326
2	4
815416736202	1.532818	848
815416737420	0.894279	604
815416737024	1.539452	339
815416737574	1.001011	93
815416740243	-0.424660	92
815416742298	-0.510124	342
4	3
822523939799	1.184669	834
822523939181	0.578472	601
822523940388	0.410244	838
822523940108	0.369877	604
822523940991	1.327526	359
822523942172	1.133034	71
822523942200	0.165081	76
