Event Number, Hits, Delta t, QDC, Layer 1 Hits, Layer 1 QDC, Layer 2 Hits, Layer 2 QDC, Layer 3 Hits, Layer 3 QDC, Layer 4 Hits, Layer 4 QDC, x1 (cm), y1 (cm), x2 (cm), y2 (cm), Adjacent Cut, Edge Cut
68, 7, 17793, 7.136693, 3, 2.416843, -1e+06, -1e+06, 2, 2.588147, 2, 2.131703, 7.680309, -1e+06, 0.4907585, 43.16783, 1, 0
69, 4, 26338, -0.581173, -1e+06, -1e+06, 2, -0.387215, 1, -0.669014, 1, 0.475056, -1e+06, 87.75457, 59.4, 69.3, 1, 1
70, 7, 4940, 6.208114, 2, 2.370414, 1, 1.199818, 2, 1.702953, 2, 0.934929, 82.64285, 13.31817, 85.2549, 29.1241, 1, 1
71, 7, 8128, 3.063099, 2, 1.455139, 3, 0.603638, 1, 0.00433, 1, 0.999992, 6.97352, 110.5066, 7.628375, 79.90554, 0, 1
72, 8, 6862, 10.13628, 2, 4.516433, 2, 2.203476, 2, 1.330349, 2, 2.086026, 82.99616, 65.64018, 67.92679, 57.79137, 1, 1
73, 10, 5479, 11.99784, 1, 1.750034, 3, -0.067234, 2, 4.486439, 4, 5.828606, 72.63316, 87.94853, 68.52442, 87.23783, 0, 1
74, 8, 6370, 8.018571, 2, 2.037194, 3, 3.347367, 1, 0.947849, 2, 1.686161, 4.385576, 8.599299, 3.63237, 33.36008, 1, 1
75, 8, 2489, 5.845878, 2, 0.598225, 2, 1.945289, 2, 0.762951, 2, 2.539413, 42.98056, 52.9311, 48.60787, 51.34362, 1, 1
76, 7, 14426, 7.92556, 2, 3.950497, 2, 4.018264, 3, -0.043201, -1e+06, -1e+06, 9.247054, 45.26656, 29.41389, -1e+06, 1, 1
77, 5, 3791, 7.460304, 2, 1.439095, 1, 2.39249, 1, 2.905399, 1, 0.72332, 6.678154, 33.80563, 0.8665536, 34.58761, 1, 1
78, 8, 6238, 6.794094, 2, 1.326129, 2, 2.172931, 2, 1.533471, 2, 1.761563, 26.37734, 60.26595, 32.98323, 79.07782, 1, 1
